12,2,0,0,0,2,0,0,2,2,0,0,0,2,0,2,0,0,0,6,0,0,4,0,2,0,4,0,0,8,13.483711286333463
12,0,0,2,0,0,2,2,4,4,2,0,2,0,0,0,2,0,0,6,0,0,2,0,0,0,4,2,0,0,11.36675773425164
12,0,0,0,2,0,6,0,2,6,6,0,0,0,0,0,2,0,2,0,0,4,0,0,0,2,2,0,0,2,13.551414359413249
12,0,0,0,0,0,0,4,0,4,4,0,0,2,8,0,0,0,2,4,0,0,2,0,0,0,0,4,0,4,27.067696417716917
10,4,4,0,0,2,2,4,0,4,0,0,2,0,0,0,0,4,0,0,2,0,0,0,0,6,0,2,0,0,9.024714670407903
8,2,0,0,0,0,0,2,2,2,2,0,0,0,4,2,0,0,2,0,0,6,2,2,8,2,2,0,0,2,6.89180904860782
8,0,2,0,0,2,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,2,8,2,6,10,2,2,0,0,27.53236352147262
6,6,0,2,0,0,2,2,0,2,0,0,0,4,0,4,0,2,0,0,8,4,0,0,0,0,0,4,2,0,6.071119463224511
6,4,2,4,0,0,4,2,0,0,2,0,0,0,2,2,2,6,0,2,0,2,0,0,0,2,0,0,0,2,5.074970884181007
6,4,0,2,0,10,0,0,0,0,0,2,0,4,4,0,0,6,0,0,2,0,0,0,0,2,0,4,4,0,2.980221125586694
6,0,0,10,0,0,2,0,0,0,6,0,4,0,0,0,0,2,2,2,8,0,0,2,0,0,2,4,0,0,17.925520067159713
6,0,0,2,4,0,2,4,2,2,2,0,0,2,4,0,2,0,0,2,6,2,0,2,0,0,0,0,0,0,3.9234123299104846
6,0,0,2,2,0,2,6,0,0,6,0,0,4,0,0,0,0,2,0,0,2,0,4,0,0,8,0,4,2,9.085527990058281
6,0,0,2,0,6,0,0,2,0,2,0,0,0,0,0,6,0,6,0,4,4,0,2,0,2,0,0,0,4,2.618440231341225
6,0,0,2,0,4,0,0,0,0,0,0,0,4,0,6,0,4,0,2,0,0,2,0,4,6,0,4,0,2,20.153193335120303
6,0,0,0,0,4,0,2,0,2,6,0,0,0,4,0,0,4,8,6,0,0,0,0,0,0,0,2,0,4,1.154532601025826
6,0,0,0,0,0,0,4,6,2,0,0,0,2,2,4,2,4,2,2,4,2,0,4,0,0,0,0,2,0,5.916391240422268
4,6,4,0,2,0,4,0,0,0,0,0,2,8,4,0,2,0,2,2,0,0,0,2,0,0,0,2,4,2,11.902533720133794
4,6,0,2,0,0,2,0,2,2,8,2,0,0,0,4,2,6,0,0,0,0,2,0,0,0,2,0,2,4,43.42583395044057
4,4,4,6,2,0,6,0,4,0,2,0,0,2,0,4,6,0,0,2,0,0,0,2,0,0,0,0,0,2,5.545817327957258
4,4,4,6,0,0,0,0,4,0,6,0,0,0,0,2,0,0,6,2,0,0,2,0,0,0,4,4,0,0,3.8522877334845074
4,4,2,4,0,0,2,0,2,0,0,0,2,2,2,2,4,2,2,2,0,0,0,0,0,4,6,0,4,0,4.552099233009168
4,4,2,0,2,0,2,0,0,2,0,12,0,0,0,2,0,2,4,0,2,0,4,2,2,0,0,2,2,0,11.717732045286029
4,4,2,0,2,0,0,0,0,6,4,2,4,4,2,0,0,0,0,0,2,0,4,0,0,0,2,0,6,2,2.2458513803898477
4,2,10,2,0,0,0,2,6,6,0,0,0,0,0,0,2,0,4,0,6,0,0,0,0,0,2,2,0,2,6.4566266945344575
4,2,2,0,2,2,0,8,0,0,0,0,0,2,0,0,2,0,2,6,2,0,0,2,0,0,8,0,6,0,0.2569646639207612
4,2,0,2,2,0,0,0,2,2,0,0,0,0,0,0,0,8,0,2,0,2,8,4,0,0,0,0,2,6,16.583436431003232
4,2,0,2,0,0,0,0,2,2,0,2,0,8,0,0,0,0,4,4,0,0,0,0,4,2,8,2,0,0,0.9460035922109845
4,2,0,0,0,6,0,2,0,0,4,0,4,2,0,2,4,8,2,0,0,0,0,2,0,0,6,0,2,0,15.149357873201982
4,2,0,0,0,0,6,0,4,6,0,4,2,2,2,2,2,0,0,0,6,0,0,2,0,0,4,0,0,0,21.24195747409584
4,2,0,0,0,0,2,2,0,0,2,2,0,0,0,0,2,0,6,4,2,6,0,0,2,0,2,8,0,2,11.998883662093517
