48,0,4,6,208.18441247147146
40,14,0,0,6.558583718980835
38,8,0,14,110.69211998816985
38,6,12,2,140.07381377858096
34,10,12,0,100.76716366537465
34,10,8,4,-1.7185441001208388
30,2,16,8,-0.45707603810183217
30,0,4,2,75.47614046573055
26,8,4,20,1.0578653466207353
26,6,2,20,1.8127061554285273
26,4,18,0,66.25056036696056
26,0,14,2,161.02915523237013
26,0,8,18,0.44274127933721164
24,4,14,12,1.1522083204865488
22,36,2,0,58.52468642504783
22,10,4,8,-1.088219302581049
22,2,30,6,26.02992710566805
22,0,10,6,-1.794005031999604
20,2,0,6,62.87987057445986
18,28,0,12,22.954296776798603
18,18,6,16,0.5139997718067106
18,8,18,2,0.5924123118750693
16,28,6,4,1.446284239055002
16,0,10,14,-1.4454909634628805
16,0,6,30,2.4915611115072087
14,20,24,2,73.025805421583
14,16,26,2,0.7053978312697418
14,14,6,22,-1.30144792897833
14,12,0,12,0.9182716103003016
14,6,2,2,-0.5811626686090042
14,2,2,8,0.6847496811585041
13,12,12,13,-0.4462321613105754
13,12,12,12,-1.1780667841656165
13,12,11,12,-2.7351440722439886
13,11,14,12,0.29376329715560706
13,11,13,13,1.389602518003583
13,11,13,12,1.4144100206365793
13,11,13,11,-0.08480640376410507
13,11,12,14,-0.9012421607661519
13,11,12,13,0.34941390167857095
13,11,12,12,0.3562353485984343
13,11,11,14,0.06565730370544164
13,11,11,13,0.5724454752154821
13,11,11,12,0.8999692305492601
13,10,13,14,0.8458788747807844
13,10,13,13,0.40129181844093725
13,10,13,12,0.909414735970952
13,10,13,11,-0.44067465852141885
13,10,12,14,1.2004530003254241
13,10,12,13,1.455659722185934
13,10,12,12,-0.06382116576886894
13,10,11,14,-1.321266330449713
13,9,13,13,-0.7554013588788859
12,13,13,13,1.121383488943626
12,13,13,12,0.12129400928336967
12,13,12,13,1.0685722678944507
12,13,12,12,0.009119348745112917
12,13,11,14,-1.376171202727446
12,13,11,12,0.26457796609952705
12,13,10,14,0.5173372492846914
12,12,14,13,-0.3574089158250545
12,12,14,12,1.941489855585506
12,12,14,11,0.3458668387843236
12,12,13,14,1.4068320890150894
12,12,13,13,0.004127206860508442
12,12,13,12,0.347531478818264
12,12,13,11,0.18026755414182813
12,12,12,14,-1.2281188890614072
12,12,12,13,-0.09480092562256907
12,12,12,12,-1.8241024104288568
12,12,12,11,0.34970841569117944
12,12,11,15,0.9444062031192069
12,12,11,14,0.9019834480887586
12,12,11,13,-0.6105834928557413
12,12,11,12,1.8216362515180675
12,12,10,14,0.9015253413603385
12,12,10,12,0.6520422132287974
12,11,15,12,-1.8237931741440108
12,11,14,14,-0.539438175112779
12,11,14,13,1.2091330767002397
12,11,14,12,0.20753365233606416
12,11,14,11,1.4080567445039622
12,11,13,15,-0.23364206728271855
12,11,13,14,0.41063181538176174
12,11,13,13,-1.3193068014595606
12,11,13,12,-1.542788030796812
12,11,13,11,-0.32982113110094863
12,11,12,15,-0.4648191092857599
12,11,12,14,0.2884046700200747
12,11,12,13,-0.8505365170005804
12,11,12,12,-0.8521109281582243
12,11,12,11,1.397260389487178
12,11,11,15,1.613575713664125
12,11,11,14,-0.5403365601464607
12,11,11,13,-1.1820555695246016
12,11,11,12,1.2030628972279385
12,11,10,16,-0.8343212072607398
12,11,10,15,-1.3594417522959283
12,11,10,14,-0.5984943258169393
12,11,10,13,-0.735080780405365
12,10,20,16,-0.9926977855222371
12,10,14,14,1.3768913068032644
12,10,14,13,-0.6770325073974479
12,10,14,12,0.42061196946044377
12,10,14,11,-1.1863420133416518
12,10,13,15,0.2905192748463888
12,10,13,14,-0.4776671901742605
12,10,13,13,0.15766297087039927
12,10,13,12,0.0832805198289616
12,10,13,11,0.11512445248372141
12,10,12,16,-0.5361699985002812
12,10,12,15,0.2798107953319558
12,10,12,14,0.3623175779325468
12,10,12,13,0.3490188280256698
12,10,12,12,-0.4361652369809178
12,10,11,15,0.6772159744768562
12,10,11,14,0.7344538088008861
12,10,11,13,-2.222510617871893
12,10,11,12,-2.1020146126494974
12,10,10,14,0.7750616096433988
12,9,14,14,-0.148483958985943
12,9,14,13,2.049935224374519
12,9,14,12,0.8791461900761264
12,9,13,15,-0.011320697981569393
12,9,13,14,-0.108165277032486
12,9,13,13,0.5580531023786869
12,9,13,12,-0.5923588984852268
12,9,12,15,0.19042046125288714
12,9,12,14,-1.6022736325786977
12,9,12,13,-2.49877636375919
12,9,12,12,0.6618627734617144
12,9,11,15,-2.335663773511553
12,9,11,14,0.5327951445768024
12,9,11,13,-1.6364071612722892
12,8,14,22,0.22938006639182953
12,4,26,4,-1.9041848135617716
12,2,32,12,-1.7510611278292985
11,13,14,13,-0.3033937673016056
11,13,13,14,-0.2352484154383535
11,13,13,13,-1.424978226778332
11,13,13,12,0.530508637899071
11,13,12,14,1.513861853390726
11,13,12,13,-1.2441226091582154
11,13,12,12,0.6098230101893468
11,13,11,15,1.2686350706587441
11,13,11,14,0.615924128196111
11,13,11,13,0.1619851843039863
11,13,10,13,-0.43718443309442895
11,12,15,12,-1.5331724297362095
11,12,14,14,-0.23931553067529557
11,12,14,13,-1.7850685343744936
