16,0,0,2,4,4,4,2,2,6,0.3410661252160916
16,0,0,0,2,10,2,2,0,2,29.30039892276471
14,14,2,2,0,0,0,0,0,0,81.10476400336437
14,4,0,0,12,2,0,0,0,6,14.279914756982128
12,6,2,6,4,2,0,0,0,8,24.530269280945518
12,2,2,4,8,2,4,0,0,6,38.99315550404411
12,2,0,0,0,4,0,4,14,2,17.098822062432955
12,0,8,0,2,4,2,0,8,0,39.01052227584357
12,0,4,4,2,4,2,2,6,2,3.5634747793825103
10,22,0,0,0,0,0,0,0,0,23.05631062540962
10,4,10,0,6,0,4,2,4,0,8.842647107176155
10,4,0,2,0,6,0,10,6,2,64.75703676289709
10,2,6,8,0,2,2,6,2,2,23.400455728021374
10,0,2,2,6,2,0,8,2,0,115.0842767461238
10,0,2,2,6,2,0,0,4,0,79.9686561591709
10,0,2,2,2,0,6,8,6,2,8.477698510503807
8,4,0,0,4,2,4,14,2,0,41.49937996867321
8,2,0,6,12,0,2,2,2,2,42.53340844724022
8,2,0,6,10,0,2,0,2,0,103.48989476963177
8,0,2,2,2,0,16,6,0,4,2.6357019330763323
6,10,6,0,14,0,0,2,0,0,71.81726251477693
6,8,6,4,0,2,10,0,2,0,14.255852228064125
6,8,4,2,2,12,0,0,0,2,65.58103242059745
6,8,0,6,12,2,6,0,0,0,43.72404307009441
6,2,2,4,4,6,4,2,6,4,77.11350330729896
6,0,2,10,2,6,0,0,2,4,68.62425440531091
6,0,2,2,14,4,4,8,0,0,21.70867369329019
4,14,6,4,0,0,0,4,2,2,36.27846080952064
4,12,0,4,10,6,0,0,2,0,13.807564814054404
4,10,6,2,0,0,10,0,2,4,63.98856786531456
4,6,0,12,0,8,0,4,0,0,51.195287131457725
4,6,0,2,0,6,8,2,2,8,1.3046001875572895
4,5,4,4,4,4,4,3,3,3,1.1271212055658322
4,5,4,4,4,3,4,3,3,4,-0.9682911174290124
4,5,4,4,4,3,4,3,3,3,2.2042702470606725
4,5,4,4,4,3,3,3,3,3,0.8306205148738878
4,5,4,4,3,3,4,3,3,4,0.8854655103077481
4,5,4,3,5,3,4,4,3,4,-1.429119018143625
4,5,4,3,5,3,4,3,3,4,0.02417321193957286
4,5,4,3,5,3,4,3,3,3,-2.278001092565786
4,5,4,3,4,4,4,3,3,4,1.834496565274433
4,5,4,3,4,4,4,3,3,3,-0.8177398204714601
4,5,4,3,4,3,4,4,4,4,-1.4898524235053623
4,5,4,3,4,3,4,4,3,4,0.08921593003284647
4,5,4,3,4,3,4,4,3,3,0.5800559288380949
4,5,4,3,4,3,4,4,2,4,0.8415792712389578
4,5,4,3,4,3,4,3,4,4,0.7749631203541881
4,5,4,3,4,3,4,3,4,3,0.2093273902164035
4,5,4,3,4,3,4,3,3,4,-1.0524475425212445
4,5,4,3,4,3,4,3,3,3,-1.763117722810641
